tradeName;grade;sample;Class;className;setNum;manufacturer;chemicalDescription;weeksSoaked;pctGlass;conductivity_uSPerCm;TOC;pH_227;IC_Anion_ppm;F;Cl;NO2;Br;NO3;PO4;SO4;ICPTotal_ppm;AL;B;Ca;Cr;Cu;Mg;P;K;Si;Na;Zn;numPeaks_GCMS;peak1;peak2;peak3;peak4;peak5;peak6;peak7;peak8;peak9;peak10;axisLabel;leachingIndex;voltageLoss
EMS-4;EMS-4;EMS-4;3;PA-E;GM-014;EMS;PA-E;6;50;507;241.08;8.04;2.26;0.04;2.02;0;0;0.18;0;0.01;90.4;1.7;0.05;4.2;0;0.03;1.3;0;1.1;14;68;0;5;"Nylon 6,10 cyclic dimer";;Caprolactam;;Glycerol; Hexanediol;Butanediol;;;;PA-E;960.4;96.4
EMS-5;EMS-5;EMS-5;3;PA-E;GM-015;EMS;PA-E;6;50;355;218.78;8.22;3.6;0.25;2.5;0.02;0;0.22;0.48;0.14;30.86;1.7;9.1;2.8;0;0;0.34;0.61;0.2;13;3.1;0;4;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";Series of PPO (polypropylene oxide) oligomers MW 656  58;"2,2,6,6-Tetramethyl-4-aminopiperidine ";;"Caprolactam, Nylon 6,10 cyclic dimer";;;;;;PA-E;960.4;96.4
ZYTEL;HTN51G35HSLR BK420;HTN51G35HSLR;4;PPA-D;GM-001;DuPont;PPA-D;6;35;398;44;8.17;2.07;0;0.69;0.15;0;0.51;0.09;0.64;74.21;1.1;0.58;5.8;0;0.06;0.54;0.03;53;9.4;3.7;0;1;;Caprolactam;;;;;;;;;PPA-D;725.1;53.8
ZYTEL;HTN52G35EF;HTN52G35EF;4;PPA-D;GM-002;DuPont;PPA-D;6;35;208.9;411;8;9.79;0;4.32;0.17;0;0.33;3.22;1.75;53.91;2.7;12;0.93;0;0.01;0.31;4.5;0.45;16;17;0;5;Caprolactam;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;;;;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";"N,N-Hexamethylenebisacetamide (TRACE)";Acetic acid;PPA-D;725.1;53.8
ZYTEL;HTNFR52G30NHF;HTNFR52G30NHF;4;PPA-D;GM-003;DuPont;PPA-D;6;30;602;850;3.74;2.99;0.16;2.4;0.05;0.1;0.03;0.12;2.53;695.2;2;320;31;0;0.88;2.2;250;0.71;18;39;46;3;;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;;;;"N,N-Hexamethylenebisacetamide ";Acetic acid ;;PPA-D;725.1;53.8
ZYTEL;HTN54G35EF;HTN54G35EF;4;PPA-D;GM-004;DuPont;PPA-D;6;35;155.4;231;7.42;5.15;0.38;2.45;0.12;0;0.25;0.06;1.9;29.9;0.69;3.1;3.2;0;0;0.59;0.92;0.68;13;7.7;0;4;Caprolactam;;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";;"1,8-Diazacyclotetradecane-2,9-dione ";;;;Acetic acid;;PPA-D;725.1;53.8
EMS-6;EMS-6;EMS-6;5;PPA-E;GM-016;EMS;PPA-E;6;30;729;69.84;7.5;1.26;0.01;0.46;0;0.01;0.03;0.62;0.13;136.07;0.16;0.06;1.2;0;0.08;0.27;0;28;8.3;98;0;5;Caprolactam;;Benzoic Acid;;Benzamide;Hexanediol;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;;;PPA-E;1115.68;60.2
EMS-7;EMS-7;EMS-7;5;PPA-E;GM-017;EMS;PPA-E;6;50;594;99.82;7.42;0.7;0.34;0.22;0;0.03;0.09;0.02;0;133.15;0.38;7;4.5;0;0.13;0.13;0;73;11;37;0;5;Benzoic acid;Series of PEO (polyethylene oxide) oligomers MW 458  44;Benzamide;;"Hexanediol, Caprolactam";;;MW 324;;;PPA-E;1115.68;60.2
EMS-8;EMS-8;EMS-8;5;PPA-E;GM-018;EMS;PPA-E;6;30;1468;869.05;7.76;8.78;0.02;2.18;0.01;0;2.68;3.77;0.14;393.4;0.43;0.04;0.22;0;5.5;0.1;1.1;290;13;83;0;5;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";Caprolactam dimer;Caprolactam;;Benzoic Acid;;;"MW 452, 472, 678";;;PPA-E;1115.68;60.2
EMS-9;EMS-9;EMS-9;5;PPA-E;GM-019;EMS;PPA-E;6;50;1444;640.41;8.38;2.57;0.01;1.21;0.02;0.06;0.03;1.24;0;331.24;2;10;0.57;0;2.2;0.04;0.41;170;16;130;0;6;"DCTDD-1,8-Diazacyclotetradecane-2,7-dione ";Caprolactam dimer;Caprolactam;;Benzoic Acid;Benzamide;;"MW 452, 472, 678";;;PPA-E;1115.68;60.2
EMS-10;EMS-10;EMS-10;5;PPA-E;GM-020;EMS;PPA-E;6;30;277;24.56;8.3;0.53;0.08;0.09;0.03;0;0.11;0.15;0.07;63.41;2.7;1.8;7.4;0;0.05;0.55;0;24;17;9.9;0;5;Caprolactam;;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;Benzamide;Benzoic Acid;" Nylon 6,6 dimer";;;;PPA-E;1115.68;60.2
EMS-11;EMS-11;EMS-11;5;PPA-E;GM-021;EMS;PPA-E;6;35;182.4;295.97;7.69;1.84;0;1.42;0.1;0;0.32;0;0.01;25.94;2.1;2.9;2.7;0;0;0.14;0;0.8;14;3.3;0;6;Caprolactam tetramer;;Caprolactam hexamer;"Nylon 6,6 dimer";Caprolactam dimer;;;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";"2,6-di-t-Butylphenol";;PPA-E;1115.68;60.2
Crastin;6130 NC010;Du Pont Crastin 6130;6;PBT-D;GM-022;DuPont;PBT-D;6;0;58.5;34.88;3.88;0.08;0;0.08;0;0;0;0;0;0.55;0;0.01;0.1;0;0;0.01;0;0.05;0.32;0.03;0;4;MW 310;;MW 238;No identifiable responses;Caprolactam tetramer;;;;;;PBT-D;471.2;35
Crastin;HR5330HF BK503;Du Pont Crastin HR533;6;PBT-D;GM-023;DuPont;PBT-D;6;30;378;471.06;8.03;0.4;0.06;0.25;0.04;0;0.04;0;0.01;83.06;0.11;2.7;32;0;0.26;0.58;0;24;17;6.4;0;6;Caprolactam tetramer;;Caprolactam hexamer;"Nylon 6,6 dimer";Caprolactam dimer;;;"1,6-Hexanediamine";"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;PBT-D;471.2;35
RYTON;R4-200 BL;RYTON R4-200BL;7;PPS-C;GM-026;Chevron Phillips;PPS-C;6;40;64.2;16.55;7.36;1.17;0.01;0.49;0.11;0;0.08;0;0.47;34.55;3.1;1.7;9.5;0;0;0.45;0;0.2;16;3.6;0;6;Caprolactam tetramer;;Caprolactam hexamer;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";Caprolactam dimer;"MW 398, MW 294";;"Nylon 6,6 dimer";;;PPS-C;94.3;8.4
RYTON;R4-220 BL;RYTON R4-220BL;7;PPS-C;GM-027;Chevron Phillips;PPS-C;6;40;65.9;12.25;7.41;0.92;0.01;0.43;0.04;0;0.07;0;0.37;30.81;3.1;1.3;10;0;0;0.51;0;0.2;14;1.7;0;4;MW 294 ;;MW 398;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";;;;p-Octylacetophenone;;;PPS-C;94.3;8.4
RYTON;R4-220 NA;RYTON R4-220NA;7;PPS-C;GM-028;Chevron Phillips;PPS-C;6;40;69.4;11.04;7.49;1.48;0.02;0.65;0.04;0;0.14;0;0.63;20.49;0.23;1.2;8;0;0;0.56;0;0.1;8.5;1.9;0;5;MW 294 ;;MW 398;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";MW 278;;;p-Octylacetophenone;;;PPS-C;94.3;8.4
RYTON;R7-120 BL;RYTON R7-120BL;7;PPS-C;GM-029;Chevron Phillips;PPS-C;6;*40;94.4;16.45;7.52;1.61;0.01;0.45;0.05;0;0.05;0;1.05;36.76;2.9;1.6;15;0;0;0.36;0;0.1;14;2.8;0;7;Caprolactam tetramer;;MW 398;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";MW 294;MW 678;"MW 226 (dimer), MW 278";p-Octylacetophenone;;;PPS-C;94.3;8.4
RYTON;R7-220 BL;RYTON R7-220BL;7;PPS-C;GM-030;Chevron Phillips;PPS-C;6;*40;103.8;17.39;7.81;1.22;0.01;0.69;0.05;0;0.08;0.03;0.36;33.97;2.6;1.4;13;0;0;0.47;0;0.4;13;3.1;0;6;MW 398;;MW 294;"DTBOD (7,9-Di-tert-butyl-1-oxaspiro (4,5) deca-6,9-diene-2,8-dione)";MW 278;MW 452 (tetramer);;p-Octylacetophenone;;;PPS-C;94.3;8.4
Bakelite epoxy-based;1908K-3 ;1908K-3 Bakelite epoxy-based material_Sumitomo;8;BE-S;GM-031;Sumitomo;BE-S;6;0;60.3;52.27;4.65;0.43;0.01;0.12;0.01;0;0.16;0;0.13;22.49;0.57;0.01;6.9;0;0.41;0.75;0;0.15;13;0.27;0.43;0;None detected;;;;;;;;;;BE-S;112.6;15
Bakelite phenolic-based;RX643 ;RX643 Bakelite phenolic based material_Sumitomo;9;BP-S;GM-032;Sumitomo;BP-S;6;0;1639;550.67;9.23;7.05;0.1;4;0.49;0.06;1.05;0;1.34;200.96;0.15;7.5;8.2;0;0.01;2.8;0;2.3;88;92;0;1;Phenol-formaldehyde;;;;;;;;;;BP-S;2189.7;75
RADEL;5000 NT;Solvay RADEL 5000 NT;10;PPSU-S;GM-035;Solvay;PPSU-S;6;0;5.41;4.22;5.35;0.33;0;0.07;0.01;0;0.06;0;0.18;0.47;0;0.02;0.05;0;0.12;0.01;0;0;0.25;0;0.01;0;None detected;;;;;;;;;;PPSU-S;9.63;18
UDEL;GF-120 BK937;Solvay UDEL GF-120 BK937;11;PSU-S;GM-033;Solvay;PSU-S;6;20;47.9;13.99;7.01;0.26;0.01;0.09;0.02;0;0.05;0;0.09;17.09;0.34;1.3;6;0;0;0.69;0;0;8.5;0.25;0;0;None detected;;;;;;;;;;PSU-S;47.7;5
UDEL;P-1700 NT11;Solvay UDEL P-1700 NT11;11;PSU-S;GM-034;Solvay;PSU-S;6;0;30.1;3.42;3.4;4.16;0.01;0.53;0;0;0;0;3.62;0.52;0;0.05;0.04;0;0.13;0.01;0;0;0.27;0;0.02;0;None detected;;;;;;;;;;PSU-S;47.7;5
Control water;Control water;Control water;12;aged DI water;GM-010;GM;aged DI water;6;0;1.85;0.55;7.73;0.37;0;0.06;0.03;0;0.02;0.04;0.22;0.21;0;0;0.01;0;0;0;0;0;0.19;0.01;0;0;None detected;;;;;;;;;;Control water;2.4;0
